232633627068_10157157731677069, 蘋果日報 台灣, 范冰冰最近接二連三各種爆料，到底是惹到誰了╮(╯_╰)╭ #7pupu編\n\u3000\n#范冰冰 范冰冰. #李晨 李晨  \n★跟隨《蘋果》推特，和中國網友聊新聞 → http://bit.ly/2HpCaau, 2018-06-11T07:00:01+0000, 1167, 57, 52
232633627068_10157157535132069, 蘋果日報 台灣, 算我拜託你，以後讓你媽開車載你就好，開車這麼危險的事情，孩子你還是別碰了🙄 #鄉編\n\u3000\u3000\n【圖文報導】車開到沒油卡待轉區\u3000竟呆耗3小時等媽媽\nhttps://tw.appledaily.com/new/realtime/20180610/1370657/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/local/20180610/1370657/\n\u3000\n#馬路三寶 #媽寶\n⚽世足看蘋果 http://bit.ly/2sIFsk, 2018-06-11T06:50:00+0000, 96, 58, 17
232633627068_10157157724847069, 蘋果日報 台灣, 討拍不成反被起底，幫QQ #7pupu編\n\u3000\n#蘋果生活 #爆料公社\n⚽世足看蘋果 http://bit.ly/2sIFskX, 2018-06-11T06:42:01+0000, 228, 7, 4
232633627068_10157157443597069, 蘋果日報 台灣," 瑞莎因為認識了現在的老公開始想在台灣久居，媽媽還派瑞莎的弟弟來考察""姊夫""，看看瑞沙在台灣是不是真的很快樂，超有愛的一家人耶😍😍\n\u3000\u3000\n圖文報導【#蘋果之星】來台首日驚見吐血案\u3000瑞莎憶短命婚只有感恩\nhttps://tw.entertainment.appledaily.com/realtime/20180611/1370747\n\u3000\n【相關新聞】卡關5年！瑞莎明年初變台灣人\u30001年半空窗「戶口沒有我」\nhttps://tw.entertainment.appledaily.com/realtime/20180611/1370754\n\u3000\n【#火線話題】蘋果最夯專訪\nhttp://bit.ly/2xPDAfa\n#蘋果專訪 #瑞莎 #烏克蘭 #台灣 #歸化 瑞莎 Larisa \n⚽世足看蘋果 http://bit.ly/2sIFsk", 2018-06-11T06:30:01+0000, 285, 8, 14
232633627068_10157157700247069, 蘋果日報 台灣, 「我再不澄清，被潑到我身上的髒水即使乾了，恐怕也永遠臭了。」#7pupu編\n\u3000\n【新光雙姝續鬥片】大公主臉書貼《蘋果》文「表心聲」\nhttps://tw.news.appledaily.com/new/realtime/20180428/1343336/\n\u3000\n【還原現場片】新光獨董批李紀珠「績效沒出來就要加薪」\nhttps://tw.finance.appledaily.com/realtime/20180427/1342791\n\u3000\n#新光金 #吳欣盈 吳欣盈official\n🍎加入《蘋果》LINE，新聞快遞即時送 👉 https://goo.gl/pQ9xTe, 2018-06-11T06:20:36+0000, 62, 4, 1
232633627068_10157157667902069, 蘋果日報 台灣, 美寶一臉淡定，好羨慕阿😂#7pupu編\n\u3000\n#賀軍翔 賀軍翔 #伊凡潔琳莉莉 Evangeline Lilly #美寶\n🍎追星追美食，加入蘋果日報IG 👉 https://goo.gl/HxyZnq, 2018-06-11T06:10:00+0000, 1292, 9, 5
232633627068_10157157659502069, 蘋果日報 台灣, 次數僅次於張泰山跟彭政閔(ง๑ •̀_•́)ง #7pupu編\n\u3000\n#林智勝 林智勝 #中華職棒\n⚽世足看蘋果 http://bit.ly/2sIFskX, 2018-06-11T06:00:00+0000, 213, 6, 0
232633627068_10157157474882069, 蘋果日報 台灣, 兩人都才剛滿18歲...\n\u3000\u3000\n【圖文報導】畢業僅九天\u3000高中生偕國中同學騎機車自撞雙亡\nhttps://tw.appledaily.com/new/realtime/20180610/1370628/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/local/20180610/1370628/, 2018-06-11T05:50:00+0000, 139, 68, 7
232633627068_10157157617197069, 蘋果日報 台灣, 婚姻觸礁沒關係，彭佳慧的唱功實力絕對是無庸置疑的！#7pupu編\n\u3000\n【壹週刊】〈金曲歌喉戰2〉相馬茜是幸運物\u3000李玖哲問鼎歌王有洋蔥\nhttps://tw.news.appledaily.com/nextmag/realtime/20180611/1371045/\n\u3000\n【壹週刊】〈金曲歌喉戰3〉世大運走音好傷\u3000男友神助徐佳瑩搏歌后\nhttps://tw.news.appledaily.com/nextmag/realtime/20180611/1371051/\n\u3000\n彭佳慧 #彭佳慧\n🍎追星追美食，加入蘋果日報IG 👉 https://goo.gl/HxyZnq, 2018-06-11T05:40:00+0000, 78, 2, 2
232633627068_10157157835312069, 蘋果日報 台灣, 只要用電鍋就有美味蒜頭雞可以吃啦～～\n\u3000\n#影創中心 影像創意中心 17Video, 2018-06-11T11:50:18+0000, 6, 1, 1
232633627068_10157158145152069, 蘋果日報 台灣, 兩位怎麼會以這種姿勢湊在一起啦！\u3000#鬼編\n\u3000\n🍎加入《蘋果》LINE，拒當知識魯窮宅 👉 https://goo.gl/pQ9xTe, 2018-06-11T11:40:01+0000, 140, 15, 3
232633627068_10157158164067069, 蘋果日報 台灣, 張韶涵首度回應這件風波....\u3000#鬼編\n\u3000\n【獨家】張韶涵被控毁約棄養父母\u3000媽淪越南台勞叫她「磕頭認錯」\nhttps://tw.entertainment.appledaily.com/realtime/20180526/1361568\n\u3000\n【獨家】張韶涵媽越南曝光\u3000亮麗打扮不像12K台勞\nhttps://tw.entertainment.appledaily.com/realtime/20180601/1365218\n\u3000\n#蘋果娛樂 張韶涵 Angela Chang #張韶涵\n🍎加入《蘋果》LINE，隨時掌握天下事 👉 https://goo.gl/pQ9xTe, 2018-06-11T11:30:35+0000, 139, 10, 3
232633627068_10157158094857069, 蘋果日報 台灣, T妹：「女生要懂得顧形象，我不反對人體模特兒等，這也是職業！但如果你單純以為裸露就能紅，這絕對是錯誤觀念」\n\u3000\n🍎FB滑膩了？我們也有IG喔(≖‿ゝ≖)✧ 👉 https://goo.gl/HxyZnq, 2018-06-11T11:20:00+0000, 225, 25, 1
232633627068_10157157992762069, 蘋果日報 台灣, 對此，木柵廠回應，目前尚無法透露是以何種圖案重現，但未來保證會用更好的方式呈現.... #旁編\n\n#蘋果生活\n🍎蘋果日報IG強勢回歸 👉 https://goo.gl/HxyZnq, 2018-06-11T11:10:00+0000, 196, 29, 5
232633627068_10157158116842069, 蘋果日報 台灣, R.I.P...\n\u3000\n#蘋果社會 統一獅官方粉絲團\n🍎想對FB變心？我們也有IG喔(≖‿ゝ≖)✧ 👉 https://goo.gl/HxyZnq, 2018-06-11T11:02:03+0000, 543, 6, 9
232633627068_10157158002692069, 蘋果日報 台灣, 一個4歲一個才8個月，你怎麼能放他們獨自在家...\n\u3000\u3000\n【圖文報導】母獨留兩稚子在家5小時\u30008月大嬰趴睡窒息亡\nhttps://tw.appledaily.com/new/realtime/20180611/1370995/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/local/20180611/1370995/\n\u3000\n#蘋果動畫, 2018-06-11T10:50:00+0000, 51, 49, 11
232633627068_10157157986862069, 蘋果日報 台灣, 輔助器材非常的完整，根本是專業級的... #旁編 😂😂😂\n\u3000\n#蘋果生活\n🍎不一樣的蘋果日報，加入我們的IG吧 👉 https://goo.gl/HxyZnq, 2018-06-11T10:40:00+0000, 93, 4, 6
232633627068_10157157779297069, 蘋果日報 台灣, 柚子醬還呼籲網友不用急著上車🙈🙈🙈 \n\u3000\u3000\n【圖文報導】為錢下海閱鳥無數\u3000外拍小模嘆「色影師」都是短快俠\nhttps://tw.news.appledaily.com/international/realtime/20180611/1370921\n\u3000\n#蘋果動畫\n★上推特列車吧！老司機發的蘋果不一樣 → http://bit.ly/2HpCaau, 2018-06-11T10:30:00+0000, 56, 20, 4
232633627068_10157157982162069, 蘋果日報 台灣, 可是我連盤子都無法當啊.... #旁編 😫😫😫\n\u3000\n#蘋果地產\n🍎加入《蘋果》LINE，拒當知識魯窮宅 👉 https://goo.gl/pQ9xTe, 2018-06-11T10:20:00+0000, 390, 88, 17
232633627068_10157158031587069, 蘋果日報 台灣, 儘管案件審理期間，陸續有7家醫院證明他全盲，但法院並不採信，如今他不僅得入監1年2個月，需繳回522萬元的「犯罪所得」，入監時還可能連導盲手杖都不能帶......\n\u3000\n【「裝瞎」前國手 是詐是冤】\nhttp://tw.news.appledaily.com/headline/daily/20180528/38026918/\n\u3000\n【盲人應該長什麼樣 打球 跑步 演戲難不倒】\nhttp://tw.news.appledaily.com/headline/daily/20180528/38026931/\n\u3000\n#陳敬鎧 #視障國手 \n🍎加入《蘋果》LINE，新聞快遞即時送 👉 https://goo.gl/pQ9xTe, 2018-06-11T10:08:35+0000, 129, 17, 8
232633627068_10157157950627069, 蘋果日報 台灣, 誤會得很徹底... #旁編 😂😂😂\n\u3000\n#蘋果生活 #玻璃吸管 #限塑\n⚽世足看蘋果 http://bit.ly/2sIFskX, 2018-06-11T10:00:01+0000, 417, 13, 4
232633627068_10157157794092069, 蘋果日報 台灣, 凌晨3點就要起床，一路忙到上午11點多才算告一段落，睡過頭還會被客人打電話叫起床😂😂。百年豆腐老店的第四代詹統森說：「這是使命感，不能砸了招牌，一定讓鄰里們吃得安心！」\n\u3000\u3000\n圖文報導【#微視蘋】放牛班「來軟的」\u3000父亡喚使命手傳豆腐情\nhttps://tw.appledaily.com/new/realtime/20180611/1363227/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/local/20180611/1363227/\n\u3000\n【#火線話題】#蘋果微視蘋 \nhttp://bit.ly/2rfWEfS\n#蘋果動新聞 #豆腐達人\n⚽世足看蘋果 http://bit.ly/2sIFsk, 2018-06-11T09:50:00+0000, 146, 1, 10
232633627068_10157157968887069, 蘋果日報 台灣, 阿童最近很會炒話題耶... #旁編\n\u3000\n#蘋果政治 #童仲彥 台灣阿童─童仲彥\n🍎加入《蘋果》LINE，拒當知識魯窮宅 👉 https://goo.gl/pQ9xTe, 2018-06-11T09:40:00+0000, 93, 5, 0
232633627068_10157157941647069, 蘋果日報 台灣, 讓我算算晚上要去哪個夜市才能偶遇本人（丟銅板） #鄉編\n\u3000\u3000\n圖文報導【#蘋果獨家】爬完中正廟！蟻人故宮賞肉形石\u3000龍山寺聽誦經\nhttps://tw.entertainment.appledaily.com/realtime/20180611/1370840/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/entertainment/20180611/1370840/\n\u3000\n#蟻人與黃蜂女 #漫威 #蟻人2 #PaulRudd #Marvel #EvangelineLilly #台灣 #Taiwan Ant-Man Marvel Evangeline Lilly\n⚽世足看蘋果 http://bit.ly/2sIFsk, 2018-06-11T09:30:01+0000, 163, 8, 3
232633627068_10157157943787069, 蘋果日報 台灣, 竟然有辦法摸走630萬禮劵，該說她厲害嗎？ #旁編 😱😱😱\n\u3000\n#蘋果社會\n🍎不一樣的蘋果日報，加入我們的IG吧 👉 https://goo.gl/HxyZnq, 2018-06-11T09:20:13+0000, 1502, 64, 24
232633627068_10157157745427069, 蘋果日報 台灣, 小胖弟連吃雞的模樣也超萌(*´з｀*) #7pupu編\n\u3000\n#蘋果國際 \n⚽世足看蘋果 http://bit.ly/2sIFskX, 2018-06-11T09:10:00+0000, 186, 8, 5
232633627068_10157157622492069, 蘋果日報 台灣," 還說什麼""下次""，這種女友還是趕快放生吧（拍拍） #鄉編\n\u3000\u3000\n【圖文報導】找女約砲被抓包\u3000道歉影片遭PO網\nhttps://tw.appledaily.com/new/realtime/20180611/1370937/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/local/20180611/1370937/\n\u3000\n★上推特列車吧！老司機發的蘋果不一樣 → http://bit.ly/2HpCaau", 2018-06-11T08:50:00+0000, 118, 38, 9
232633627068_10157157877507069, 蘋果日報 台灣, 佩服他的勇氣... #旁編 😱😱😱\n\u3000\n#蘋果國際\n⚽世足看蘋果 http://bit.ly/2sIFskX, 2018-06-11T08:41:22+0000, 734, 38, 10
232633627068_10157157581902069, 蘋果日報 台灣," 兩位都很不按牌理出牌，不曉得明天會不會有""脫稿演出""的狀況發生呢 #鄉編\n\u3000\u3000\n圖文報導【全動畫】異想世界！ 川金會若翻桌\u3000台灣會被捲入？\nhttps://tw.appledaily.com/new/realtime/20180611/1370521/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/international/20180611/1370521/\n\u3000\n【#火線話題】川金會獅城登場\nhttp://bit.ly/2vSVzjM\n#川金會 #北韓 #川普 #金正恩 #國際新聞 #蘋果國際 #蘋果動畫沒有極限 #中國 #台灣 #習近平 Donald J. Trump #김정은\n★想關心更多國際事件？請跟隨蘋果推特  →  http://bit.ly/2HpCaau", 2018-06-11T08:30:01+0000, 306, 118, 79
232633627068_10157157827917069, 蘋果日報 台灣, 好身材原來是這樣塞出來的( ͡° ͜ʖ ͡°)\n是說女警的眼睛好尖啊\n\u3000\n#拉K一時尿布一世, 2018-06-11T08:20:00+0000, 952, 20, 11
232633627068_10157157808307069, 蘋果日報 台灣, 迪士尼限定商品，不用飛出國就有機會得到ε٩(๑> ₃ <)۶з\n\u3000\n#海洋奇緣 #莫娜, 2018-06-11T08:10:00+0000, 22, 0, 2
232633627068_10157157817047069, 蘋果日報 台灣, 欠薪還打人...都是台灣人不是應該互相照顧嗎(´ﾟдﾟ`) #7pupu編\n\u3000\n#蘋果生活 \n★跟隨他！你會有不一樣的新聞視野 →  http://bit.ly/2HpCaau, 2018-06-11T08:00:01+0000, 869, 148, 75
232633627068_10157157503382069, 蘋果日報 台灣, 畫什麼圖？該不會是小雞啄米圖吧？🙄 #鄉編\n\u3000\u3000\n【圖文報導】人妻出軌玩「大怒神」\u3000小王辯：那2天都在畫圖\nhttps://tw.appledaily.com/new/realtime/20180611/1369968/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/local/20180611/1369968/\n\u3000\n#蘋果動畫\n★上推特列車吧！老司機發的蘋果不一樣 → http://bit.ly/2HpCaau, 2018-06-11T07:50:01+0000, 46, 3, 1
232633627068_10157157827917069, 蘋果日報 台灣, 好身材原來是這樣塞出來的( ͡° ͜ʖ ͡°)\n是說女警的眼睛好尖啊\n\u3000\n#拉K一時尿布一世, 2018-06-11T08:20:00+0000, 952, 20, 11
232633627068_10157157808307069, 蘋果日報 台灣, 迪士尼限定商品，不用飛出國就有機會得到ε٩(๑> ₃ <)۶з\n\u3000\n#海洋奇緣 #莫娜, 2018-06-11T08:10:00+0000, 22, 0, 2
232633627068_10157157817047069, 蘋果日報 台灣, 欠薪還打人...都是台灣人不是應該互相照顧嗎(´ﾟдﾟ`) #7pupu編\n\u3000\n#蘋果生活 \n★跟隨他！你會有不一樣的新聞視野 →  http://bit.ly/2HpCaau, 2018-06-11T08:00:01+0000, 869, 148, 75
232633627068_10157157503382069, 蘋果日報 台灣, 畫什麼圖？該不會是小雞啄米圖吧？🙄 #鄉編\n\u3000\u3000\n【圖文報導】人妻出軌玩「大怒神」\u3000小王辯：那2天都在畫圖\nhttps://tw.appledaily.com/new/realtime/20180611/1369968/\n\u3000\n【完整 #動新聞】\nhttps://tw.video.appledaily.com/local/20180611/1369968/\n\u3000\n#蘋果動畫\n★上推特列車吧！老司機發的蘋果不一樣 → http://bit.ly/2HpCaau, 2018-06-11T07:50:01+0000, 46, 3, 1
1021581417961885_1686871258099561, 卡提諾狂新聞, 【0610】卡提諾狂新聞 #119 期\n\n※ 這種天氣真的會熱死\n※ 是要上色彩學嗎？\n※ 倒～退～嚕～\n※ 我不好意思說這名是什麼\n※ 果真高手在民間！拍手\n\n卡提諾狂新聞粉絲團設為搶先看 ！\n搶先收到第一手狂訊～\n#卡提諾狂新聞 #948794狂\n\n本集新聞來源：自由、民視、三立、TVBS、蘋果、華視、八大、中央社, 2018-06-10T04:00:00+0000, 9027, 373, 1341
1021581417961885_1686439104809443, 卡提諾狂新聞, 立刻吃個兩顆壓壓驚, 2018-06-09T08:16:54+0000, 1419, 18, 8
1021581417961885_1686438264809527, 卡提諾狂新聞, 突然覺得肚子好像有點餓了, 2018-06-09T08:15:33+0000, 1510, 31, 1
1021581417961885_1685055508281136, 卡提諾狂新聞, 姊夫，是你嗎？姊夫～～\n\n#內有垃圾剛吃飽不要看\n#而且我很乖有打碼, 2018-06-08T07:49:36+0000, 5111, 2061, 1016
1021581417961885_1684057575047596, 卡提諾狂新聞, 卡提諾《政客日常》024期 時代力量智力測驗來囉！\n\n※國會戰神黃國昌竟被撞倒？！\n※撞他的人還是白海豚將軍！\n※一堆年領百萬成天耍白爛的政客\n※就是選前沒有把關的結果\n※時代力量智力測驗正式開打！\n※下一個換誰來挑戰？！, 2018-06-07T11:30:15+0000, 2630, 157, 178
1021581417961885_1682988455154508, 卡提諾狂新聞, 最有愛心的小弟弟，堅持灌溉不畏懼大家的眼光～, 2018-06-06T10:47:24+0000, 7369, 2446, 1917
1021581417961885_1681768925276461, 卡提諾狂新聞, 這老闆夠狂 一切隨緣～, 2018-06-05T07:12:59+0000, 13907, 493, 651
1021581417961885_1678978642222156, 卡提諾狂新聞, 【0603】卡提諾狂新聞 #118 期\n\n※ 怎麼被講一下就森77？\n※ 這算是有生意頭腦嗎\n※ 開這個還不用考駕照咧\n※ 原來__ __裡面沒有__ __\n※ 冷靜幾秒 世界更美好\n\n卡提諾狂新聞粉絲團設為搶先看 ！\n搶先收到第一手狂訊～\n#卡提諾狂新聞 #948794狂\n\n本集新聞來源：三立、東森、TVBS、台視、鏡傳媒、新浪網、BBC、金剛直播, 2018-06-03T04:00:01+0000, 8124, 390, 836
1021581417961885_1677424899044197, 卡提諾狂新聞, 【0601】狂推理 #1.5 胖虎大解密\n\n※ 狂～推～理～又～來～啦～\n※ 不要以為MV刪掉我就不會發現！\n※ 這次又會有什麼驚人內幕呢\n\n#狂推理 #純推理 #理性討論, 2018-06-01T10:00:00+0000, 4696, 511, 457
1021581417961885_1677334599053227, 卡提諾狂新聞, 丁尺去哪兒, 2018-06-01T06:10:42+0000, 7290, 1516, 1332
1021581417961885_1676264502493570, 卡提諾狂新聞, 各位單身狗們怎麼看？\n\n#是幹話的機率有多少, 2018-05-31T06:35:05+0000, 5325, 2981, 659
